"","FGLU","FGLU_AUC","HOMA_S","OGIS","PREDIM","QUICKI","SI","TINSUL","TINSUL_AUC","Composite_Insulin"
"Baseline",0.21818400918938,-0.201051952788626,0.816993507087831,-0.223631562572349,0.202366511477593,0.198411339257454,0.751233318673295,-0.482760236821866,-0.43092673407156,0.733017602347787
"Endpoint",0.451015512558625,0.00456610954305552,0.533630807968682,-0.199920239252978,0.458519474160866,0.500206838903741,0.150430451342463,-0.32027243827345,-0.525710676838463,0.166049497942494
"Change",0.0541469674373964,0.0785621620988391,0.152129301604658,0.155925037675195,-0.335546573699579,0.138493543968846,0.22569467341563,0.304489614858142,-0.211282880906861,-0.0730410624942268
