"","FGLU","FGLU_AUC","HOMA_S","OGIS","PREDIM","QUICKI","SI","TINSUL","TINSUL_AUC","Composite_Insulin"
"Baseline",0.860541367466559,0.798636971547957,0.619791201970736,0.610977678377608,0.262365864159554,0.651833544799387,0.458446137687953,0.311768578359175,0.488360508294978,0.812553746940208
"Endpoint",0.121898093862606,0.988188303399956,0.0603556162243011,0.512561519088074,0.115054745302849,0.0817177040737775,0.623751141896961,0.286047546618502,0.0650118660205431,0.587706439146715
"Change",0.473924880884417,0.51012740968615,0.000651200832918583,0.462673636673721,0.507306549362101,0.515814923382946,0.00307425613881479,0.0947261793540147,0.141540386189192,0.00436349157012643
