"","FGLU","FGLU_AUC","HOMA_S","OGIS","PREDIM","QUICKI","SI","TINSUL","TINSUL_AUC","Composite_Insulin"
"Baseline",-0.0766775962233024,0.061962734600906,0.660364086234943,-0.25938206036898,0.140065798631757,0.146106701260521,0.123713348438742,-0.386096089833689,-0.511738599533232,0.446263726228725
"Endpoint",0.0251266514122597,-0.126317648574155,0.724367244414113,-0.0792395374920389,0.270326738639589,0.238139194229393,-0.0365793018673176,-0.423960393272553,-0.373526587492583,0.531054554225664
"Change",-0.209208233747185,-0.07880595908362,0.525534308234285,0.0528396939088712,-0.202394587001739,0.109523837248119,0.0393669509756138,-0.0810911659192732,-0.114126924525786,-0.476867537619005
