"","FGLU","FGLU_AUC","HOMA_S","OGIS","PREDIM","QUICKI","SI","TINSUL","TINSUL_AUC","Composite_Insulin"
"Baseline",0.879317561462524,0.443518773969149,1.85836870066858e-07,0.631578891412873,0.0960295912500804,0.144320407170558,0.825030759940819,0.00715233797740126,0.0191670143670979,0.000504599405244858
"Endpoint",0.201180043252403,0.633452011961782,0.000591344726960873,0.749369470265868,0.216582369233377,0.506867108021002,0.811927684016236,0.623605205955088,0.489063433403683,0.00214566815320132
"Change",0.642679365675604,0.707862955565613,4.77771986731533e-06,0.110809595612617,0.395072024935132,0.374795975650302,0.453048402412768,0.0151953737316644,0.000868937500703209,0.00440496182714308
